Cpu_php,Net_In_Global,Disque_write_global,Ram_http,Net_Out_Global,Nb_connection_mysql,Nb_process_php,Cpu_http,Cpu_global,Nb_process_http
28.5,0.02,473.88,3.3,0.03,16.0,101.0,0.14,5.87,340.0
28.51,0.02,226.42,4.7,0.03,58.0,101.0,0.4,6.65,292.0
28.51,0.02,350.87,3.2,0.03,24.0,101.0,0.04,5.68,334.0
28.52,0.02,237.35,3.9,0.03,57.0,101.0,0.2,6.62,309.0
28.52,0.02,332.5,3.4,0.03,21.0,101.0,0.04,5.54,350.0
28.52,0.02,302.24,4.3,0.03,64.0,101.0,0.42,8.43,267.0
28.52,0.02,386.68,3.3,0.03,20.0,101.0,0.04,5.64,342.0
28.54,0.03,296.48,4.0,0.04,63.0,101.0,0.51,7.02,255.0
28.54,0.02,424.41,3.2,0.03,21.0,101.0,0.06,5.5,332.0
28.53,0.02,227.82,4.1,0.03,60.0,101.0,0.32,6.21,302.0
28.51,0.02,354.93,3.6,0.03,17.0,101.0,0.04,10.97,369.0
28.54,0.02,296.11,4.2,0.03,60.0,101.0,0.16,7.08,270.0
28.54,0.02,337.3,3.4,0.03,21.0,101.0,0.06,12.21,347.0
28.55,0.02,637.79,3.6,0.03,69.0,101.0,0.11,7.25,282.0
28.54,0.02,414.62,2.9,0.03,19.0,101.0,0.04,5.61,302.0
28.56,0.02,210.51,3.8,0.03,67.0,101.0,0.31,7.45,270.0
28.56,0.02,337.44,3.0,0.03,19.0,101.0,0.07,6.25,305.0
28.58,0.02,230.57,3.7,0.03,62.0,101.0,0.06,7.52,331.0
28.57,0.02,335.01,3.5,0.03,18.0,101.0,0.07,6.22,349.0
28.57,0.02,253.72,3.9,0.03,76.0,101.0,0.4,8.15,367.0
28.57,0.02,345.57,3.0,0.03,22.0,101.0,0.03,5.98,299.0
28.57,0.02,216.2,4.0,0.03,64.0,101.0,0.35,7.28,349.0
28.58,0.02,384.35,3.3,0.03,24.0,101.0,0.12,7.87,335.0
28.57,0.02,211.73,3.9,0.03,61.0,101.0,0.23,5.4,358.0
28.57,0.02,389.83,3.3,0.03,16.0,101.0,0.06,12.25,332.0
28.56,0.02,261.66,4.9,0.03,61.0,101.0,0.81,7.35,365.0
28.54,0.02,354.95,3.4,0.03,23.0,101.0,0.06,5.85,341.0
28.54,0.02,280.96,3.8,0.03,66.0,101.0,0.65,9.73,338.0
28.53,0.02,325.28,3.5,0.03,25.0,101.0,0.04,5.71,346.0
28.52,0.02,246.93,3.9,0.03,66.0,101.0,0.5,6.05,341.0
28.52,0.02,343.38,3.4,0.03,18.0,101.0,0.18,5.55,339.0
28.52,0.02,245.09,4.0,0.03,61.0,101.0,0.87,5.7,299.0
28.52,0.02,322.55,3.3,0.03,21.0,101.0,0.08,4.84,329.0
28.52,0.02,263.19,4.0,0.03,62.0,101.0,0.49,6.15,356.0
28.52,0.02,360.14,3.6,0.03,19.0,101.0,0.08,5.62,358.0
28.51,0.02,194.43,4.2,0.03,72.0,101.0,0.14,6.67,285.0
28.51,0.02,355.3,3.1,0.03,21.0,101.0,0.04,6.17,318.0
28.49,0.02,245.26,3.8,0.03,60.0,101.0,0.59,8.46,281.0
28.5,0.02,331.49,3.3,0.03,31.0,101.0,0.06,6.58,335.0
28.49,0.02,224.55,3.9,0.03,67.0,101.0,0.59,6.94,282.0
28.48,0.02,349.91,3.8,0.03,16.0,101.0,0.09,17.46,379.0
28.49,0.02,226.82,3.7,0.03,56.0,101.0,0.72,7.65,287.0
28.5,0.02,382.16,3.6,0.03,24.0,101.0,0.05,6.73,356.0
28.49,0.02,245.54,4.5,0.03,71.0,101.0,1.37,8.53,279.0
28.49,0.02,307.51,3.4,0.03,20.0,101.0,0.07,5.3,342.0
28.49,0.02,211.87,3.8,0.03,48.0,101.0,0.66,6.84,274.0
28.48,0.02,361.14,3.3,0.03,20.0,101.0,0.07,5.58,333.0
28.48,0.02,280.58,3.7,0.03,70.0,101.0,0.38,6.35,291.0
28.46,0.02,368.43,3.3,0.03,16.0,101.0,0.11,4.73,332.0
28.46,0.02,266.06,4.0,0.03,66.0,101.0,0.77,5.72,277.0
28.46,0.02,319.14,3.5,0.03,25.0,101.0,0.07,5.96,352.0
28.44,0.02,213.1,3.8,0.03,67.0,101.0,0.14,6.88,290.0
28.47,0.02,348.62,3.1,0.03,18.0,101.0,0.04,5.49,309.0
28.46,0.02,254.58,3.7,0.03,75.0,101.0,1.21,5.93,234.0
28.45,0.02,385.5,3.4,0.03,16.0,101.0,0.07,6.75,337.0
28.44,0.02,256.53,3.9,0.03,77.0,101.0,1.29,7.21,248.0
28.44,0.02,301.07,3.1,0.03,24.0,101.0,0.11,5.41,314.0
28.43,0.02,205.52,3.8,0.03,58.0,101.0,1.71,7.5,240.0
28.44,0.02,364.71,3.6,0.03,22.0,101.0,0.16,6.66,353.0
28.41,0.02,266.33,3.9,0.03,68.0,101.0,0.4,11.95,282.0
28.4,0.02,305.62,3.3,0.03,18.0,101.0,0.19,6.67,325.0
28.38,0.02,275.38,3.8,0.03,64.0,101.0,1.31,8.03,243.0
28.38,0.02,322.18,3.4,0.03,16.0,101.0,0.07,5.9,335.0
28.38,0.02,216.91,3.7,0.03,58.0,101.0,0.71,4.98,263.0
28.38,0.02,397.79,3.2,0.03,29.0,101.0,0.07,6.85,317.0
28.4,0.02,271.21,4.1,0.03,72.0,101.0,3.16,7.36,262.0
28.41,0.02,378.87,3.8,0.03,44.0,101.0,0.06,11.24,367.0
28.42,0.02,267.61,4.0,0.03,72.0,101.0,3.08,7.73,258.0
28.42,0.02,326.43,3.5,0.03,25.0,101.0,0.04,8.46,347.0
28.41,0.02,390.64,4.0,0.03,77.0,101.0,2.31,6.03,244.0
28.44,0.02,419.0,3.6,0.03,24.0,101.0,0.11,4.79,355.0
28.44,0.02,204.92,4.1,0.03,83.0,101.0,0.26,7.3,350.0
28.44,0.02,316.51,3.6,0.03,27.0,101.0,0.08,5.12,352.0
28.42,0.02,215.2,4.0,0.03,73.0,101.0,0.38,5.98,288.0
28.42,0.02,369.8,3.4,0.03,26.0,101.0,0.2,5.5,338.0
28.41,0.02,201.87,3.9,0.03,19.0,101.0,5.18,8.3,271.0
28.42,0.02,351.95,3.4,0.03,22.0,101.0,0.07,5.61,331.0
28.39,0.02,298.45,4.0,0.03,18.0,101.0,7.14,7.83,290.0
28.41,0.02,378.23,3.4,0.03,20.0,101.0,0.24,6.48,327.0
28.41,0.03,254.82,3.8,0.03,15.0,101.0,3.76,6.0,243.0
28.41,0.02,319.24,3.5,0.03,22.0,101.0,0.07,7.97,334.0
28.43,0.02,185.8,4.2,0.03,20.0,101.0,8.57,8.87,270.0
28.43,0.02,343.1,3.2,0.03,22.0,101.0,0.04,5.87,308.0
28.44,0.02,261.8,4.1,0.03,23.0,101.0,2.14,6.98,305.0
28.45,0.02,389.27,3.5,0.03,22.0,101.0,0.07,6.15,342.0
28.46,0.02,248.88,4.2,0.03,28.0,101.0,6.14,6.59,276.0
28.45,0.02,370.26,3.5,0.03,31.0,101.0,0.06,6.44,282.0
28.44,0.02,178.78,3.8,0.03,28.0,101.0,12.43,7.29,312.0
28.45,0.03,339.86,3.5,0.03,20.0,101.0,0.06,6.77,282.0
28.46,0.02,298.1,4.0,0.03,22.0,101.0,4.78,6.37,336.0
28.46,0.02,336.2,3.7,0.03,22.0,101.0,0.11,7.64,306.0
28.47,0.02,265.91,3.8,0.03,25.0,101.0,9.94,5.99,315.0
28.46,0.02,333.73,3.8,0.03,21.0,101.0,0.38,6.36,313.0
28.46,0.02,290.49,4.2,0.03,22.0,101.0,8.49,7.18,360.0
28.44,0.02,348.68,3.2,0.03,21.0,101.0,0.09,6.62,258.0
28.43,0.02,220.89,3.9,0.03,27.0,101.0,5.08,6.94,326.0
28.43,0.02,329.98,3.4,0.03,25.0,101.0,0.11,6.18,270.0
28.44,0.02,293.57,4.1,0.03,18.0,101.0,4.76,5.65,345.0
28.44,0.02,328.11,4.0,0.03,24.0,101.0,0.41,7.44,329.0
28.41,0.02,227.22,4.4,0.03,26.0,101.0,9.78,7.96,390.0
28.41,0.02,303.11,3.6,0.03,19.0,101.0,0.29,6.8,289.0
28.43,0.02,243.07,3.5,0.03,23.0,101.0,6.51,8.33,311.0
28.42,0.02,322.17,3.8,0.03,28.0,101.0,0.27,7.75,304.0
28.42,0.02,303.21,3.6,0.03,22.0,101.0,0.26,9.09,359.0
28.43,0.02,355.93,3.4,0.03,30.0,101.0,0.12,7.07,273.0
28.42,0.02,213.53,3.8,0.03,23.0,101.0,8.94,7.63,338.0
28.42,0.02,332.24,3.3,0.03,21.0,101.0,0.08,7.01,259.0
28.43,0.02,302.48,4.0,0.03,29.0,101.0,0.07,11.15,373.0
28.42,0.02,318.76,3.6,0.03,20.0,101.0,0.06,6.3,293.0
28.41,0.02,275.24,3.6,0.03,26.0,101.0,0.41,5.53,318.0
28.41,0.02,348.3,3.5,0.03,27.0,101.0,0.18,6.54,279.0
28.39,0.02,259.74,3.9,0.03,27.0,101.0,0.46,6.1,345.0
28.37,0.02,307.57,3.6,0.03,23.0,101.0,0.14,6.01,292.0
28.39,0.02,229.07,3.6,0.03,23.0,101.0,5.76,10.18,323.0
28.36,0.02,314.62,3.5,0.03,29.0,101.0,0.23,5.01,281.0
28.36,0.02,216.62,3.7,0.03,26.0,101.0,2.26,6.31,353.0
28.35,0.02,302.6,3.7,0.03,26.0,101.0,0.22,5.44,298.0
28.37,0.02,273.99,3.3,0.03,25.0,101.0,0.48,5.99,364.0
28.24,0.02,348.81,4.2,0.03,23.0,101.0,0.55,12.99,344.0
27.49,0.02,244.61,3.6,0.03,27.0,101.0,1.88,8.43,339.0
26.37,0.02,372.11,4.0,0.03,34.0,101.0,0.85,9.28,328.0
26.93,0.02,270.16,3.0,0.03,30.0,101.0,0.44,9.12,340.0
26.65,0.03,359.93,3.6,0.03,22.0,101.0,0.15,7.11,296.0
27.02,0.02,228.82,3.0,0.03,34.0,101.0,0.05,8.06,364.0
27.08,0.02,313.38,3.6,0.03,28.0,101.0,0.25,6.36,290.0
27.36,0.03,231.79,3.0,0.03,36.0,101.0,0.05,6.21,379.0
27.31,0.02,327.87,3.5,0.03,27.0,101.0,0.06,5.11,276.0
27.36,0.02,225.45,3.5,0.03,36.0,101.0,0.01,6.82,356.0
27.05,0.03,346.52,3.1,0.03,35.0,101.0,0.17,5.05,253.0
27.18,0.02,204.14,3.6,0.03,40.0,101.0,0.05,7.94,335.0
26.97,0.02,412.85,3.3,0.03,27.0,101.0,0.12,5.44,275.0
27.1,0.03,304.18,3.7,0.03,34.0,101.0,0.05,6.04,337.0
27.01,0.02,311.14,3.5,0.03,22.0,101.0,0.17,14.21,294.0
27.1,0.02,207.32,3.8,0.03,28.0,101.0,0.04,5.4,340.0
27.0,0.03,379.2,3.4,0.03,24.0,101.0,0.44,5.21,283.0
26.96,0.02,215.12,3.7,0.03,29.0,101.0,0.04,5.63,339.0
26.99,0.02,334.55,3.3,0.03,18.0,101.0,0.37,6.0,272.0
27.01,0.03,221.09,3.6,0.03,35.0,101.0,2.17,5.43,361.0
27.02,0.02,402.38,3.5,0.03,24.0,101.0,0.12,6.23,286.0
27.05,0.02,593.69,3.3,0.03,40.0,101.0,9.71,6.42,345.0
27.09,0.03,339.53,3.4,0.03,29.0,101.0,0.07,6.89,278.0
27.2,0.02,266.45,3.5,0.03,38.0,101.0,0.72,6.01,356.0
27.18,0.02,574.53,3.6,0.03,27.0,101.0,0.11,6.4,296.0
27.31,0.03,303.38,3.3,0.03,37.0,101.0,2.99,7.66,352.0
27.29,0.02,338.02,3.4,0.03,19.0,101.0,0.06,6.5,277.0
27.34,0.02,259.38,3.2,0.03,38.0,101.0,0.69,6.2,328.0
27.38,0.03,403.64,3.8,0.03,21.0,101.0,0.23,6.03,319.0
27.49,0.02,274.27,3.4,0.03,33.0,101.0,1.57,6.66,376.0
27.49,0.02,423.18,3.8,0.03,21.0,101.0,0.28,10.37,313.0
27.54,0.03,314.51,3.1,0.03,39.0,101.0,6.06,6.74,381.0
27.52,0.02,306.33,3.5,0.03,19.0,101.0,0.06,6.96,284.0
27.54,0.03,426.46,2.8,0.08,49.0,101.0,3.42,5.76,365.0
27.6,0.03,349.56,3.6,0.03,26.0,101.0,0.12,6.97,295.0
27.61,0.02,2136.91,2.9,0.03,63.0,101.0,1.54,6.6,354.0
27.61,0.02,2150.64,3.9,0.03,109.0,101.0,0.17,6.17,323.0
28.36,49.88,238.88,3.4,13.39,53.0,103.0,1.07,7.09,365.0
27.73,0.02,367.79,3.5,0.03,15.0,101.0,0.21,9.81,289.0
27.8,0.02,240.02,2.6,0.03,50.0,101.0,2.53,6.45,350.0
27.81,0.03,316.65,3.8,0.03,25.0,101.0,0.28,6.7,320.0
27.79,0.02,237.18,3.1,0.03,70.0,101.0,1.19,8.6,357.0
27.77,0.02,345.43,3.3,0.03,21.0,101.0,0.01,6.1,272.0
27.81,0.02,306.84,3.3,0.03,53.0,101.0,0.45,6.52,357.0
27.8,0.02,366.75,3.5,0.03,15.0,101.0,0.06,5.56,287.0
27.79,0.03,398.87,2.9,0.07,52.0,101.0,1.08,7.17,320.0
27.76,0.03,403.27,3.3,0.03,21.0,101.0,0.12,6.21,274.0
27.84,0.02,309.64,2.8,0.03,61.0,101.0,0.85,10.99,364.0
27.82,0.02,343.01,3.1,0.03,22.0,101.0,0.09,6.57,250.0
27.81,0.02,301.52,2.9,0.03,53.0,101.0,1.23,7.2,338.0
27.81,0.02,349.64,3.4,0.03,22.0,101.0,0.04,5.61,286.0
27.81,0.02,313.52,2.8,0.03,59.0,101.0,6.01,6.28,332.0
27.78,0.02,333.43,3.8,0.03,17.0,101.0,0.26,5.84,319.0
27.77,0.02,244.36,3.0,0.03,58.0,101.0,2.22,5.45,366.0
27.73,0.02,389.07,3.5,0.03,22.0,101.0,0.21,5.53,295.0
27.74,0.02,270.75,2.5,0.03,62.0,101.0,9.46,7.17,320.0
27.68,0.02,352.73,3.6,0.03,19.0,101.0,0.4,6.06,300.0
27.68,0.02,333.34,2.5,0.03,59.0,101.0,0.24,7.21,334.0
27.64,0.02,362.21,3.3,0.03,19.0,101.0,0.24,6.01,272.0
27.64,0.02,249.42,2.8,0.03,52.0,101.0,0.06,5.79,361.0
27.62,0.02,353.8,3.6,0.03,16.0,101.0,0.5,6.07,303.0
27.66,0.02,288.8,2.6,0.03,50.0,101.0,0.04,6.31,323.0
27.61,0.02,193.14,3.4,0.03,26.0,101.0,0.08,5.9,280.0
27.61,0.02,373.39,2.9,0.03,56.0,101.0,0.07,6.51,325.0
27.6,0.02,194.67,2.9,0.03,17.0,101.0,0.23,5.37,291.0
27.59,0.02,301.93,3.5,0.03,62.0,101.0,0.04,7.42,354.0
27.59,0.02,275.54,3.2,0.03,18.0,101.0,0.43,5.78,320.0
27.57,0.02,427.95,3.6,0.03,65.0,101.0,0.08,6.64,353.0
27.56,0.02,293.01,2.7,0.03,17.0,101.0,0.06,6.7,271.0
27.56,0.02,307.58,3.2,0.03,49.0,101.0,0.07,8.72,320.0
27.56,0.02,290.63,3.5,0.03,30.0,101.0,0.39,5.57,345.0
27.53,0.02,303.06,3.4,0.03,57.0,101.0,0.02,5.88,334.0
27.48,0.02,340.5,3.0,0.03,26.0,101.0,0.23,5.74,299.0
27.49,0.02,380.62,3.6,0.03,53.0,101.0,0.03,6.11,356.0
27.48,0.02,325.74,2.8,0.03,15.0,101.0,0.14,7.51,275.0
27.51,0.03,284.65,3.7,0.03,52.0,101.0,0.06,6.08,366.0
27.49,0.02,262.42,3.2,0.03,21.0,101.0,0.24,5.93,318.0
27.52,0.02,251.11,3.5,0.03,55.0,101.0,0.06,5.25,346.0
27.48,0.02,292.27,3.1,0.03,17.0,101.0,0.16,6.54,306.0
27.49,0.02,419.68,3.7,0.03,66.0,101.0,0.05,6.13,362.0
27.48,0.02,191.28,3.0,0.03,24.0,101.0,0.14,5.84,300.0
27.5,0.02,380.23,3.3,0.03,63.0,101.0,0.02,6.75,320.0
27.48,0.02,319.72,3.1,0.03,24.0,101.0,0.11,5.18,308.0
27.51,0.02,395.98,3.6,0.03,68.0,101.0,0.03,6.77,357.0
27.44,0.02,183.38,3.2,0.03,20.0,101.0,0.28,6.68,313.0
27.47,0.02,227.21,3.4,0.03,58.0,101.0,0.03,5.78,336.0
27.46,0.02,345.86,2.9,0.03,19.0,101.0,0.16,5.85,283.0
27.48,0.02,317.73,3.6,0.03,59.0,101.0,0.06,8.37,348.0
27.48,0.02,334.51,2.9,0.03,15.0,101.0,0.07,13.22,287.0
27.44,0.02,270.07,3.3,0.03,53.0,101.0,0.04,10.16,327.0
